model,window_days,cap_quantile,cap_value,trend,damped_trend,seasonal,seasonal_periods,selection_score,r2,r2_log,mae,rmse,mape
hw_recent_w56_q0985_damped,56,0.985,9161.774999999998,add,True,add,7,0.2511547721548998,0.23108966833558653,0.2645315080344419,505.22927512685425,618.965542337616,8.558955573295862
hw_recent_w57_q098_damped,57,0.98,8812.119999999994,add,True,add,7,0.24583918273895367,0.21898386411088633,0.26374272849099856,498.2727164039597,623.8190423750132,8.31131724302359
hw_recent_w55_q098_damped,55,0.98,8866.080000000002,add,True,add,7,0.2332615995332341,0.210999502142179,0.24810299779393752,505.82622555743177,626.9995989206619,8.528075883490708
hw_recent_w57_q099_damped,57,0.99,9446.119999999997,add,True,add,7,0.23168273742666468,0.20537953322675384,0.2492182068932719,501.7827639832186,629.2286632518017,8.371495632069161
hw_recent_w55_qnone_damped,55,,,add,True,add,7,0.2313981289082438,0.21174809283495233,0.24449815295710475,514.5951504223372,626.7020848823657,8.750502040597784
hw_recent_w56_q098_damped,56,0.98,8839.099999999999,add,True,add,7,0.22257864747605893,0.2001528899121633,0.23752915251865603,509.8226418087784,631.2946580654034,8.591288688576256
hw_recent_w56_q099_plain,56,0.99,9456.850000000002,add,False,add,7,0.21932736116020785,0.19317342212384825,0.23676332051778093,516.5525549430321,634.0430148910642,8.648175255109374
hw_recent_w55_q0985_damped,55,0.985,9177.869999999997,add,True,add,7,0.21847419076629332,0.19789099731098247,0.23219631973650057,515.3013916717341,632.1866489325718,8.72325063672344
hw_recent_w56_q0985_plain,56,0.985,9161.774999999998,add,False,add,7,0.21684334269213623,0.18600811501807935,0.23740016114150753,508.44084513906154,636.8522126222911,8.404840902633513
hw_recent_w55_q099_damped,55,0.99,9467.580000000002,add,True,add,7,0.21580286775069488,0.19348869557915516,0.23067898253172137,513.4915546557708,633.9191242872979,8.650029698746042
hw_recent_w56_qnone_damped,56,,,add,True,add,7,0.21562084254587696,0.19528944942082715,0.2291751046292435,518.8568345827978,633.2110311712546,8.794781076115092
hw_recent_w56_q099_damped,56,0.99,9456.850000000002,add,True,add,7,0.21233678949413196,0.19230681425463447,0.2256901063204636,519.4484301156768,634.3834345150653,8.804727230555304
hw_recent_w57_qnone_damped,57,,,add,True,add,7,0.20738004413831793,0.18479317031933373,0.2224379600176407,519.9029485167483,637.3273105517894,8.759858523613536
hw_recent_w55_qnone_plain,55,,,add,False,add,7,0.2068962167941323,0.17723084090790542,0.22667313405161693,516.7474157561279,640.2765946503038,8.557883347923461
hw_recent_w55_q0985_plain,55,0.985,9177.869999999997,add,False,add,7,0.18014568588449648,0.16626824385953254,0.18939731390113912,536.629410608422,644.528010772884,9.215231379401446
hw_recent_w57_q0985_damped,57,0.985,9145.679999999997,add,True,add,7,0.17879222448801285,0.1511653288387198,0.1972101549208749,521.8277924212226,650.3395700225439,8.68287655737464
hw_recent_w55_q099_plain,55,0.99,9467.580000000002,add,False,add,7,0.1634236468172591,0.15006127420886728,0.17233189522285364,543.25935343606,650.7623714911516,9.340590262065534
hw_full_q90_add_damped,122,0.9,7269.5,add,True,add,7,0.1596405671486441,0.12990212433557147,0.17946619569069255,499.55470987953436,658.4346516545595,8.29735434554124
hw_recent_w56_q098_plain,56,0.98,8839.099999999999,add,False,add,7,0.15928550027107774,0.14680287857539642,0.1676072480681986,544.2602217963512,652.0085865515706,9.362391438041566
hw_recent_w56_qnone_plain,56,,,add,False,add,7,0.13800999500173958,0.10974797178303619,0.1568513438142085,535.8082823251527,666.0166866363547,8.823277436689718
hw_recent_w63_q099_damped,63,0.99,9381.740000000003,add,True,add,7,0.1364217107233559,0.10172648603027634,0.15955186051874226,510.6350161695719,669.0104809671387,8.338707113036396
hw_recent_w49_q098_damped,49,0.98,9016.919999999998,add,True,add,7,0.13172448412911414,0.12286326281218185,0.13763196500706898,547.1480504396301,661.0925680535338,9.478112025216987
